Tool Name,Researcher,Deep Dive,Category,Language,Website,OS License,Version Control,Maintaner(s),Initial Release,Last Active Date,Alternate Tools,Notes,Source,,,,,,,,,,,
automater,gk,gk,Information Gathering,Python,http://www.tekdefense.com/automater/,MIT,git,Tekdefense.com,2013,12/4/2013,,https://github.com/1aN0rmus/TekDefense-Automater,Kali repos,,,,,,,,,,,
autopsy,gk,,Forensics,Python,https://github.com/sleuthkit/autopsy,Apache 2,git,https://github.com/bcarrier,2/19/2001,1/28/2014,sleuthkit,,Kali repos,,,,,,,,,,,
autossh,,,,,,,,,,,,major project,Kali repos,,,,,,,,,,,
bbqsql,gk,,Exploitation Tools,Python,https://github.com/Neohapsis/bbqsql,BSD?,git,"https://github.com/sbehrens,https://github.com/mastahyeti",2012,5/9/2013,,,Kali repos,,,,,,,,,,,
bed,gk,,Sniffing/Spoofing,Perl,http://www.aldeid.com/wiki/Bed,,,mjm and Eric Sesterhenn,,,,,Kali repos,,,,,,,,,,,
binwalk,gk,,Reverse Engineering,Python/C,http://binwalk.org/,MIT,git,https://github.com/devttys0,11/10/2013,2/4/2014,,github: https://github.com/devttys0/binwalk,Kali repos,,,,,,,,,,,
blindelephant,gk,,Web Applications,Python,https://community.qualys.com/community/blindelephant,LGPL,svn,Qualys,7/28/2010,9/26/2012,,sourceforge: http://sourceforge.net/p/blindelephant/,Kali repos,,,,,,,,,,,
bluelog,gk,,Wireless Attacks,"C, HTML",http://www.digifail.com/software/bluelog.shtml,GPLv2,git,Tom Nardi https://github.com/MS3FGX,6/22/2012,1/21/2014,,github: https://github.com/MS3FGX/Bluelog,Kali repos,,,,,,,,,,,
bluemaho,gk,,Wireless Attacks,Python,http://wiki.thc.org/BlueMaho,,,"""from website: """"1. ATTENTION! AN OWNER CAN NOT ANYMORE SUPPORT THIS SOFTWARE! IF YOU WANT TO GET IT AND WORK ON IT - FEEL FREE TO USE L/P smiley/secret""""
""",4/22/2008,4/17/2009,,project needs help,Kali repos,,,,,,,,,,,
bluepot,gk,SS,Wireless Attacks,Java,https://code.google.com/p/bluepot/,GPLv3,,http://andrewmichaelsmith.com/,,12/12/2011,,,Kali repos,,,,,,,,,,,
blueranger,gk,,Wireless Attacks,SH,http://www.hackfromacave.com/projects/blueranger.html,,,JP Dunning (.ronin) :),2009,2012,,,Kali repos,,,,,,,,,,,
bluesnarfer,gk,,Wireless Attacks,C,http://www.alighieri.org/,,,http://www.alighieri.org/,,7/26/2014,,,Kali repos,,,,,,,,,,,
braa,gk,,Information Gathering,C,http://s-tech.elsat.net.pl/,GPLv2,,http://s-tech.elsat.net.pl/,2000,9/27/2006,,,Kali repos,,,,,,,,,,,
btscanner,gk,,Wireless Attacks,C,http://www.pentest.co.uk/downloads.html?cat=downloads&section=01_bluetooth,GPL?,,,,2005,,,Kali repos,,,,,,,,,,,
bulk-extractor,gk,,Forensics,C,https://github.com/simsong/bulk_extractor,GPL?,git,https://github.com/simsong,,1/30/2014,,,Kali repos,,,,,,,,,,,
bully,gk,,Wireless Attacks,C,https://github.com/bdpurcell/bully,,git,https://github.com/bdpurcell,,12/2/2013,,,Kali repos,,,,,,,,,,,
burpsuite,,,,,,,,,,,,major project,Kali repos,,,,,,,,,,,
cabextract,gk,,System Services,C,http://www.cabextract.org.uk/,,,,2006,2011,,,Kali repos,,,,,,,,,,,
casefile,gk,,Information Gathering,Java,http://paterva.com,,,Paterva software,,,,open source vers. exists?,Kali repos,,,,,,,,,,,
cdpsnarf,gk,,Sniffing/Spoofing,C,https://github.com/Zapotek/cdpsnarf,GPLv2,git,https://github.com/Zapotek,,10/13/2010,,,Kali repos,,,,,,,,,,,
cewl,gk,,Password Attacks,Ruby, http://www.digininja.org/projects/cewl.php,,,Robin Wood,,,,,Kali repos,,,,,,,,,,,
chntpw,gk,,Password Attacks,C,http://pogostick.net/~pnh/ntpasswd/,GPL/LGPL,,pnh@pogostick.net,1997,2/1/2014,,,Kali repos,,,,,,,,,,,
cisco-auditing-tool,gk,,Exploitation Tools,perl,,,,,,,,kali package info way out of date,Kali repos,,,,,,,,,,,
cisco-global-exploiter,gk,,Exploitation Tools,perl,,,,,,,,kali package info way out of date,Kali repos,,,,,,,,,,,
cisco-ocs,gk,,Exploitation Tools,C,http://hacklab.altervista.org/,,http://hacklab.altervista.org/download/OCS.c,,,,,,Kali repos,,,,,,,,,,,
cisco-torch,gk,,Exploitation Tools,perl,,,,,,,,,Kali repos,,,,,,,,,,,
cmospwd,gk,,Password Attacks,C,http://www.cgsecurity.org/wiki/CmosPwd,GPL,,,,,,,Kali repos,,,,,,,,,,,
copy-router-config,gk,,Information Gathering,perl,http://www.offensive-security.com,,,,,,,,Kali repos,,,,,,,,,,,
cowpatty,gk,,Wireless Attacks,C,http://www.willhackforsushi.com/Cowpatty.html,,,,,3/20/2008,,,Kali repos,,,,,,,,,,,
creddump,gk,,Password Attacks,python,http://code.google.com/p/creddump/,GPLv2,SVN,mooyix,2/20/2008,8/1/2012,,,Kali repos,,,,,,,,,,,
creepy,gk,SS,Information Gathering,python,http://ilektrojohn.github.com/creepy,GPLv3,git,ilektrojohn,2/3/2011,2/2/2014,,,Kali repos,,,,,,,,,,,
crunch,gk,,Password Attacks,C,http://sourceforge.net/projects/crunch-wordlist/,GPLv2,git,http://sourceforge.net/u/bofh28/profile/,,12/24/2013,,,Kali repos,,,,,,,,,,,
cryptcat,gk,,System Services,C,http://cryptcat.sourceforge.net/,GPLv2,git,http://shonjir.users.sourceforge.net/,,4/2/2013,,,Kali repos,,,,,,,,,,,
cymothoa,gk,,Maintaining Access,C,http://cymothoa.sourceforge.net/,,,"Liulin Alexei Alexeevich, alias ""codwizard"" (codwizard@gmail.com), Acri Emanuele, alias ""crossbower"" (crossbower@gmail.com)",12/28/2009,7/27/2011,,etymology: https://www.youtube.com/watch?v=5f9KlpvAfko#t=75,Kali repos,,,,,,,,,,,
darkstat,gk,,Reporting Tools,C,http://unix4lyfe.org/darkstat/,GPLv2,git,unix4lyfe.org,,1/25/2014,,self hosted git,Kali repos,,,,,,,,,,,
davtest,gk,,Exploitation Tools,perl,http://code.google.com/p/davtest/,GPLv3,svn,,4/21/2010,6/24/2010,,,Kali repos,,,,,,,,,,,
dbd,gk,,Maintaining Access,c,https://github.com/gitdurandal/dbd,GPLv2,git,https://github.com/gitdurandal,,6/23/2013,,,Kali repos,,,,,,,,,,,
dbpwaudit,gk,,Password Attacks,Java,http://www.cqure.net/wp/tools/database/dbpwaudit/,,,Patrik Karlsson,,,,,Kali repos,,,,,,,,,,,
dc3dd,gk,,Forensics,C,http://dc3dd.sourceforge.net/,GPLv3,git,"amedico, cordovano, jessekornblum, lowej",,2/29/2008,,,Kali repos,,,,,,,,,,,
dcfldd,gk,,Forensics,C,http://dcfldd.sourceforge.net/,GPL,,"Nicholas Harbour,",3/15/2002,12/19/2006,,,Kali repos,,,,,,,,,,,
ddrescue,gk,,Forensics,C,http://www.garloff.de/kurt/linux/ddrescue/,GPLv2,,kurt@garloff.de,,8/18/2013,,,Kali repos,,,,,,,,,,,
deblaze,gk,,Web Applications,python,https://github.com/SpiderLabs/deblaze,GPLv3,git," jrose@owasp.org, jrose@trustwave.com, github.com/SpiderLabs",,12/7/2010,,,Kali repos,,,,,,,,,,,
dex2jar,gk,,Reverse Engineering,java,http://code.google.com/p/dex2jar/,Apache 2,hg,,,6/4/2013,,,Kali repos,,,,,,,,,,,
dff,gk,,Forensics,"python, C++",http://www.digital-forensic.org/,GPLv2,git,,,,,,Kali repos,,,,,,,,,,,
dhcpig,gk,SS,Stress Testing,python,https://github.com/kamorin/DHCPig,,git,https://github.com/kamorin,,10/6/2013,,,Kali repos,,,,,,,,,,,
dirb,gk,,Web Applications,C,http://dirb.sourceforge.net/,GPLv2,git,http://sourceforge.net/users/rpinuaga,,4/24/2013,,,Kali repos,,,,,,,,,,,
discover,gk,,System Services,C,,,,,,,discover-data,,Kali repos,,,,,,,,,,,
dissy,gk,,Reverse Engineering,python,http://code.google.com/p/dissy/,GPLv2,svn,Simon Kagstrom,,12/11/2011,,,Kali repos,,,,,,,,,,,
distorm3,gk,,Reverse Engineering,python,http://code.google.com/p/distorm/,GPLv3,svn,,,8/28/2013,,,Kali repos,,,,,,,,,,,
dmitry,gk,,Information Gathering,C,http://www.mor-pah.net/index.php?file=projects/dmitry,,,James Greig - James@mor-pah.net - http://www.mor-pah.net,,,,,Kali repos,,,,,,,,,,,
dnmap,gk,,Information Gathering,python,http://sourceforge.net/projects/dnmap/,,,sebagarcia,,3/17/2013,,,Kali repos,,,,,,,,,,,
dns2tcp,gk,,Maintaining Access,C,http://www.hsc.fr/ressources/outils/dns2tcp/,GPLv2,,,,11/3/2008,,,Kali repos,,,,,,,,,,,
dnschef,gk,,Sniffing/Spoofing,"C, python",http://thesprawl.org/projects/dnschef/,,,,,1/20/2013,,,Kali repos,,,,,,,,,,,
dnsenum,gk,,Information Gathering,python,https://github.com/fwaeytens/dnsenum,GPLv2,git,,,,,,Kali repos,,,,,,,,,,,
dnsmap,gk,,Information Gathering,C,http://code.google.com/p/dnsmap/,GPLv2,SVN,,,2/22/2010,,,Kali repos,,,,,,,,,,,
dnsrecon,gk,,Information Gathering,python,https://github.com/darkoperator/dnsrecon,,git,https://github.com/darkoperator,,1/5/2014,,,Kali repos,,,,,,,,,,,
dnstracer,gk,,Information Gathering,C,http://freshmeat.net/projects/dnstracer,self,,"Edwin Groothuis, edwin@mavetju.org",,2/9/2008,,,Kali repos,,,,,,,,,,,
dnswalk,gk,,,perl,,,,,,,,,Kali repos,,,,,,,,,,,
dotdotpwn,gk,,Sniffing/Spoofing,perl,http://dotdotpwn.blogspot.ca,GPLv3,,"Eldar Marcussen
wireghoul",,8/19/2013,,,Kali repos,,,,,,,,,,,
driftnet,gk,,Information Gathering,C,http://www.ex-parrot.com/~chris/driftnet/,,CVS,,,7/9/2002,,,Kali repos,,,,,,,,,,,
dsniff,gk,,,C,http://www.monkey.org/~dugsong/dsniff/,,,,,12/19/2000,,,Kali repos,,,,,,,,,,,
dumpzilla,gk,,Forensics,Python,http://www.dumpzilla.org/,GPLv3,,,,,,,Kali repos,,,,,,,,,,,
eapmd5pass,gk,,Password Attacks,C,http://www.willhackforsushi.com/?page_id=67,,,,2007,2/18/2008,,,Kali repos,,,,,,,,,,,
edb-debugger,gk,,Reverse Engineering,C++,http://www.codef00.com/projects#debugger,GPLv2,,,,1/15/2014,,,Kali repos,,,,,,,,,,,
enum4linux,gk,,Information Gathering,perl,http://labs.portcullis.co.uk/application/enum4linux/,GPLv2,,,,4/26/2013,,,Kali repos,,,,,,,,,,,
enumiax,gk,,Information Gathering,C,http://enumiax.sourceforge.net/,,, Dustin D. Trammell,,11/13/2006,,,Kali repos,,,,,,,,,,,
ettercap-common,gk,,,C,http://ettercap.sourceforge.net,,,,,,"ettercap-graphical,ettercap-text-only",major project,Kali repos,,,,,,,,,,,
ewf-tools,gk,,,,http://code.google.com/p/libewf/,,git,,,,,this project might be dead,Kali repos,,,,,,,,,,,
exiv2,gk,gk,Information Gathering,C++,http://www.exiv2.org,GPLv2,svn,Andreas Huggel <ahuggel@gmx.net>,,12/2/2013,,,Kali repos,,,,,,,,,,,
exploitdb,gk,,Exploitation Tools,,http://www.exploit-db.com,,,,,,,major project,Kali repos,,,,,,,,,,,
extundelete,gk,gk,Forensics,C,http://extundelete.sourceforge.net/,GPLv2,git,"Username: necase, Public Name: N E Case",,2/21/2013,,,Kali repos,,,,,,,,,,,
fcrackzip,bc,,Password Attacks,C,http://oldhome.schmorp.de/marc/fcrackzip.html,GPL,,pcg@goof.com,1998,8/4/2008,,zip password cracker,Kali repos,,,,,,,,,,,
fern-wifi-cracker,bc,,Wireless Attacks,Python,https://code.google.com/p/fern-wifi-cracker/,GPLv3,svn,saviob...@rocketmail.com,2011,9/1/2012,,"GUI based, using aircrack and Reaver",Kali repos,,,,,,,,,,,
fierce,bc,,Information Gathering,Perl,http://ha.ckers.org/fierce/,none,,RSnake,2006,3/24/2007,,DNS enumeration tool,Kali repos,,,,,,,,,,,
fiked,bc,,Sniffing/Spoofing,C,https://github.com/droe/fiked,GPLv2,git,daniel@roe.ch,2005,3/31/2012,,A fake IKE PSK+XAUTH IPsec semi-MITM attack daemon based on vpnc http://www.roe.ch/FakeIKEd,Kali repos,,,,,,,,,,,
fimap,bc,,Web Applications,Python,https://code.google.com/p/fimap/,GPLv2,svn,http://twitter.com/fimap,2009,1/27/2013,,"fimap is a little python tool which can find, prepare, audit, exploit and even google automaticly for local and remote file inclusion bugs in webapps",Kali repos,,,,,,,,,,,
findmyhash,bc,,Password Attacks,Python,https://code.google.com/p/findmyhash/,GPLv3,svn,http://laxmarcaellugar.blogspot.com/,2011,10/5/2011,,findmyhash.py try to crack different types of hashes using free online services.,Kali repos,,,,,,,,,,,
firmware-mod-kit,bc,,Hardware Hacking,SH,https://code.google.com/p/firmware-mod-kit/,MIT,svn,jeremy.collake@gmail.com,2013,11/22/2013,,This kit is a collection of scripts and utilities to extract and rebuild linux based firmware images.,Kali repos,,,,,,,,,,,
flasm,bc,,Reverse Engineering,C++,http://www.nowrap.de/flasm,BSD,cvs, Igor Kogan,2001,1/2/2009,,Flasm disassembles your entire SWF including all the timelines and events.,Kali repos,! Flash 8 supported,,,,,,,,,,
foremost,bc,,Forensics,C,http://foremost.sourceforge.net/,,,namikus@users.sf.net,2006,3/1/2010,,"Foremost is a console program to recover files based on their headers, footers, and internal data structures.",Kali repos,,,,,,,,,,,
fping,bc,,Information Gathering,C,http://fping.sourceforge.net/,,,Thomas Dzubin (dzubint@vcn.bc.ca),2001,1/16/2002,,fping is different from ping in that you can specify any number of hosts on the command line,Kali repos,,,,,,,,,,,
fragroute,bc,,Sniffing/Spoofing,C,http://www.monkey.org/~dugsong/fragroute/,attribution,,Dug Song <dugsong@monkey.org>,,,,"fragroute intercepts, modifies, and rewrites egress traffic destined for a specified host, implementing most of the attacks described in the Secure Networks ""Insertion, Evasion, and Denial of Service: Eluding Network Intrusion Detection"" paper of January 1998",Kali repos,,,,,,,,,,,
fragrouter,bc,,Sniffing/Spoofing,,,,,,,,,Deprecated?,Kali repos,! Gone,,,,,,,,,,
framework2,bc,,,,,,,,,,,,Kali repos,,,,,,,,,,,
funkload,bc,,Stress Testing,Python,http://funkload.nuxeo.org/,GPL,,Benoit Delbosc,,7/29/2011,,a functional and load web tester,Kali repos,! Binary only?,,,,,,,,,,
galleta,bc,,Forensics,Unknown,http://www.mcafee.com/us/downloads/free-tools/galleta.aspx,Proprietary,,Stinger@avertlabs.com,,,,No longer open source? McAfee provides binary only.,Kali repos,,,,,,,,,,,
ghost-phisher,bc,,Wireless Attacks,Python,https://code.google.com/p/ghost-phisher/,GPLv3,,,,4/6/2013,,a Wireless and Ethernet security auditing and attack software program,Kali repos,,,,,,,,,,,
giskismet,bc,,,Perl,http://trac.assembla.com/giskismet/,GPLv2,svn,,,1/1/2010,,a wireless recon visualization tool to represent data gathered using Kismet in a flexible manner,Kali repos,,,,,,,,,,,
golismero,bc,,Vulnerability Analysis,Python,https://github.com/golismero/golismero,GPLv2,,golismero.project@gmail.com,,1/2/2014,,an open source framework for security testing,Kali repos,,,,,,,,,,,
goofile,bc,,System Services,Python,https://code.google.com/p/goofile/,MIT,svn,http://www.g13net.com/,,3/2/2012,,Use this tool to search for a specific file type in a given domain.,Kali repos,,,,,,,,,,,
gpp-decrypt,bc,,Password Attacks,Ruby,http://carnal0wnage.attackresearch.com/2012/10/group-policy-preferences-and-getting.html,blog post,,,,,,set local users and passwords via group policy,Kali repos,! blog post,,,,,,,,,,
grabber,bc,,Web Applications,Python,http://rgaucher.info/beta/grabber/,modified BSD,,r@rgaucher.info,,,,a web application scanner,Kali repos,,,,,,,,,,,
gsd,bc,,,,,,,,,,,,Kali repos,,,,,,,,,,,
guymager,bc,,Forensics,C++,http://guymager.sourceforge.net/,GPLv2,svn, vogu00@gmail.com,,1/17/2014,, a free forensic imager for media acquisition.,Kali repos,,,,,,,,,,,
hackrf-tools,bc,,Hardware Hacking,Meta,https://github.com/mossmann/hackrf/blob/master/COPYING,GPLv2,git,mike@ossmann.com,2012,2/5/2014,,"a project to produce a low cost, open source software radio platform.",Kali repos,,,,,,,,,,,
hamster-sidejack,bc,,Sniffing/Spoofing,,www.erratasec.com,,,,,,,,Kali repos,,,,,,,,,,,
hashcat,bc,,,,,,,,,,,Major project,Kali repos,,,,,,,,,,,
hashcat-utils,bc,,,,,,,,,,,Major project,Kali repos,,,,,,,,,,,
hash-identifier,bc,,Password Attacks,Python,https://code.google.com/p/hash-identifier/,GPLv3,svn,,2011,9/29/2011,,Software to identify the different types of hashes used to encrypt data and especially passwords.,Kali repos,,,,,,,,,,,
hexinject,bc,bc,Sniffing/Spoofing,,http://hexinject.sourceforge.net/,,,Emanuele Acri <crossbower@backtrack-linux.org>,,2/21/2013,,"HexInject is a very versatile packet injector and sniffer, that provide a command-line framework for raw network access.",Kali repos,,,,,,,,,,,
hexorbase,bc,,Exploitation Tools,Python,https://code.google.com/p/hexorbase/,GPLv3,svn,Saviour Emmanuel Ekiko,2011,9/8/2012,,"a database application designed for administering and auditing multiple database servers simultaneously from a centralized location, it is capable of performing SQL queries and bruteforce attacks against common database servers (MySQL, SQLite, Microsoft SQL Server, Oracle, PostgreSQL ).",Kali repos,,,,,,,,,,,
hotpatch,bc,,System Services,C,https://github.com/vikasnkumar/hotpatch,BSD,git,vikas@cpan.org,,12/2/2013,,Hotpatch is a library that can be used to dynamically load a shared library (.so) file on Linux from one process into another already running process,Kali repos,,,,,,,,,,,
hping3,bc,,Information Gathering,C,http://www.hping.org/hping3.html,GPLv2,cvs,Salvatore Sanfilippo <antirez (at) invece.org>,,11/5/2005,,hping is a free packet generator and analyzer for the TCP/IP protocol.,Kali repos,,,,,,,,,,,
httptunnel,bc,,Maintaining Access,C,http://www.nocrew.org/software/httptunnel.html,,git,http://lars.nocrew.org/,2008,12/17/2013,,httptunnel creates a bidirectional virtual data connection tunnelled in HTTP requests. The HTTP requests can be sent via an HTTP proxy if so desired.,Kali repos,,,,,,,,,,,
hydra,,,,,,,,,,,THC,major project,Kali repos,,,,,,,,,,,
hydra-gtk,,,,,,,,,,,THC,major project,Kali repos,,,,,,,,,,,
iaxflood,bc,,Stress Testing,USL,http://pastebin.com/Pjpb5gyf,,pastebin,,,???,,,Kali repos,! repo has unknown C source instead. Ignore this tool,,,,,,,,,,
ikat,bc,,Exploitation Tools,,http://ikat.ha.cked.net/Linux/index.html,,,,,,,Metasploit wrapper for kiosks,Kali repos,,,,,,,,,,,
ike-scan,bc,,Information Gathering,C,http://www.nta-monitor.com/tools-resources/security-tools/ike-scan,GPLv2,git,Roy Hills,,12/1/2013,,Discover and fingerprint IKE hosts (IPsec VPN Servers),Kali repos,,,,,,,,,,,
inetsim,bc,,System Services,Perl,http://www.inetsim.org/index.html,GPL,, Thomas Hungenberg & Matthias Eckert,,8/15/2013,,a software suite for simulating common internet services in a lab environment,Kali repos,,,,,,,,,,,
inguma,bc,,Exploitation Tools,Python,http://inguma.sourceforge.net/,GPLv2,svn,joxeankoret@yahoo.es,,12/13/2013,,a penetration testing and vulnerability research toolkit,Kali repos,,,,,,,,,,,
intersect,bc,,Maintaining Access,,,,,,,,,,Kali repos,! Backdoor with no current website or source,,,,,,,,,,
intrace,bc,,Information Gathering,C,https://code.google.com/p/intrace/,GPLv3,svn,Robert Swiecki,2008,1/8/2014,,a traceroute-like application that enables users to enumerate IP (both IPv4 and IPv6) hops exploiting existing TCP connections,Kali repos,,,,,,,,,,,
inundator,bc,bc,Vulnerability Analysis,Perl,http://inundator.sourceforge.net/,BSD,,,,7/1/2010,,"a multi-threaded, queue-driven, anonymous intrusion detection false positives generator with support for multiple targets.",Kali repos,,,,,,,,,,,
inviteflood,bc,,,,,,,,,,,,Kali repos,"! package, no source",,,,,,,,,,
iodine,bc,,Maintaining Access,C,http://code.kryo.se/iodine/,ISC/BSD,,,2006,2/6/2010,,iodine lets you tunnel IPv4 data through a DNS server. ,Kali repos,,,,,,,,,,,
ipcalc,bc,,,,,,,,,,,,Kali repos,,,,,,,,,,,
irpas,bc,,Exploitation Tools,C,http://www.phenoelit.org/irpas/,Proprietary,,,,,,Internetwork Routing Protocol Attack Suite,Kali repos,,,,,,,,,,,
isr-evilgrade,bc,,Sniffing/Spoofing,Perl,http://isr-evilgrade.sourceforge.net/,GPLv2,svn,,,4/19/2013,,a modular framework that allow us to take advantage of poor upgrade implementations by injecting fake updates.,Kali repos,,,,,,,,,,,
jad,bc,,Reverse Engineering,,http://varaneckas.com/jad/,Proprietary,,,,,,Java decompiler,Kali repos,"! As http://www.kpdus.com is no longer accessible, JAD Java Decompiler download is extremely hard to find. No source, just binaries?",,,,,,,,,,
javasnoop,bc,,,Java,https://www.aspectsecurity.com/research/appsec_tools/javasnoop/,GPLv3,svn,arshan.dabirsiaghi@gmail.com,2010,2/14/2012,,"A tool that lets you intercept methods, alter data and otherwise test the security of Java applications on your computer",Kali repos,,,,,,,,,,,
java-wrappers,bc,,,,,,,,,,,,Kali repos,,,,,,,,,,,
jboss-autopwn,bc,,Maintaining Access,Bash,https://github.com/SpiderLabs/jboss-autopwn,GPLv3,,http://blog.spiderlabs.com/,2011,3/7/2011,,"This JBoss script deploys a JSP shell on the target JBoss AS server. Once 
deployed, the script uses its upload and command execution capability to
provide an interactive session.
",Kali repos,,,,,,,,,,,
jigsaw,bc,,Information Gathering,Ruby,http://santoshdudhade.blogspot.com/2012/09/jigsaw-information-gathering-tool.html,GPLv3,,Royce Davis (@r3dy__),2013,12/9/2013,,Is a simple ruby script for enumerating information about a company's employees. It is useful for Social Engineering or Email Phishing.,Kali repos,,,,,,,,,,,
john,bc,,,,,,,,,,,major project,Kali repos,,,,,,,,,,,
johnny,bc,,Password Attacks,,,,,,,,,,,,,,,,,,,,,
joomscan,bc,,Web Applications,,http://sourceforge.net/projects/joomscan/,GPLv3,,joomscan at yehg.net ,,5/4/2013,,,Kali repos,"! Note: WE ARE UNABLE TO UPDATE THE SCANNER AT THIS MOMENT! 
Note: WE APPRECIATE YOUR CONTRIBUTION.",,,,,,,,,,
jsql,bc,,Exploitation Tools,,https://code.google.com/p/jsql-injection/,GPLv3,svn,ron190@ymail.com,2012,9/27/2013,,jSQL Injection is a java tool for automatic database injection.,Kali repos,,,,,,,,,,,
killerbee,bc,,,Python,https://code.google.com/p/killerbee/,BSD,svn,Ryan Speers <ryan@rmspeers.com> Ricky Melgares <rmelgares@dartmouth.edu>,2009,2/8/2014,, Framework and Tools for Attacking ZigBee,Kali repos,,,,,,,,,,,
kismet,bc,,,,,,,,,,"kismet-plugins,spectools",major project,Kali repos,,,,,,,,,,,
laudanum,bc,,,Multiple,http://laudanum.secureideas.net,GPLv2,svn,jasongillam,2012,12/30/2013,,"Laudanum is a collection of injectable files, designed to be used in a pentest
when upload vulnerabilities, administrative interfaces, and SQL injection flaws 
are found.",Kali repos,,,,,,,,,,,
lbd,bc,,Information Gathering,Bash,http://ge.mine.nu/code/lbd,GPLv2,,Stefan dot Behte at gmx dot net,,,," lbd (load balancing detector) detects if a given domain uses
# DNS and/or HTTP Load-Balancing (via Server: and Date: header and diffs between server answers",Kali repos,! Proof of concept script,,,,,,,,,,
lrzsz,bc,,System Services,C,https://ohse.de/uwe/software/lrzsz.html,GPLv2,,https://ohse.de/uwe/uwe.html,,12/1/1998,,"lrzsz is a unix communication package providing the XMODEM, YMODEM ZMODEM file transfer protocols.",Kali repos,,,,,,,,,,,
lynis,bc,bc,Vulnerability Analysis,,http://www.rootkit.nl/projects/lynis.html,GPLv3,,Michael Boelen (michael@rootkit.nl),2007,12/3/2013,,Security and system auditing tool,Kali repos,,,,,,,,,,,
macchanger,bc,,System Services,C,https://github.com/alobbs/macchanger,GPLv3,,https://github.com/alobbs,2002,1/1/2014,,"GNU MAC Changer is an utility that makes the maniputation of MAC
addresses of network interfaces easier.",Kali repos,! 12 years of development! and still active,,,,,,,,,,
magicrescue,bc,,Forensics,C,http://www.itu.dk/people/jobr/magicrescue/,GPLv2,,,2004,4/12/2010,,"Magic Rescue scans a block device for file types it knows how to recover and calls an external program to extract them.
",Kali repos,"NOTE: this project is no longer maintained, and some of the functionality is likely to be broken at this point since it relies on external tools that continue to evolve and change their interface.",,,,,,,,,,
magictree,bc,,Reporting Tools,Java,http://www.gremwell.com/what_is_magictree,,,,,9/30/2011,,"designed to allow easy and straightforward data consolidation, querying, external command execution and (yeah!) report generation.",Kali repos,! JAR file only,,,,,,,,,,
maltego,,,,,,,,,,,,major project,Kali repos,,,,,,,,,,,
md5deep,bc,,System Services,C/C++,http://md5deep.sourceforge.net/,Public domain,git,research@jessekornblum.com,2007,1/29/2014,," a set of programs to compute MD5, SHA-1, SHA-256, Tiger, or Whirlpool message digests on an arbitrary number of files",Kali repos,,,,,,,,,,,
mdbtools,bc,,Reverse Engineering,,http://mdbtools.sourceforge.net/,GPLv2,cvs,,,,,,Kali repos,,,,,,,,,,,
mdk3,bc,,Wireless Attacks,C,http://homepages.tu-darmstadt.de/~p_larbig/wlan/#mdk3,GPLv2,,"Pedro Larbig ""ASPj"" <pedrolarbig@compuserve.de>",,10/19/2009,,Packet injection utility,Kali repos,,,,,,,,,,,
medusa,bc,,Password Attacks,C,http://foofus.net/goons/jmk/medusa/medusa.html,GPLv2,,JoMo-Kun / jmk@foofus.net,,5/25/2012,,"a speedy, massively parallel, modular, login brute-forcer",Kali repos,,,,,,,,,,,
